Method,Distribution,Cov,Avg Width,Avg Miscov,Avg Regret,D
FACI,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.891, 0.891, 0.891, 0.891, 0.891, 0.891, 0.891]","[123.4, 123.4, 123.4, 123.4, 123.4, 123.4, 123.4]","[0.046, 0.046, 0.046, 0.046, 0.046, 0.046, 0.046]","[0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
FACI_S,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.896, 0.896, 0.896, 0.896, 0.896, 0.896, 0.896]","[124.9, 124.9, 124.9, 124.9, 124.9, 124.9, 124.9]","[0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044]","[0.003, 0.003, 0.003, 0.003, 0.003, 0.003, 0.003]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
MagLearnUndiscounted,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.894, 0.894, 0.894, 0.894, 0.894, 0.894, 0.894]","[122.0, 122.0, 122.0, 122.0, 122.0, 122.0, 122.0]","[0.044, 0.044, 0.044, 0.044, 0.044, 0.044, 0.044]","[0.0034, 0.0034, 0.0034, 0.0034, 0.0034, 0.0034, 0.0034]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
MagnitudeLearner,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.901, 0.901, 0.901, 0.901, 0.901, 0.901, 0.901]","[143.2, 143.2, 143.2, 143.2, 143.2, 143.2, 143.2]","[0.034, 0.034, 0.034, 0.034, 0.034, 0.034, 0.034]","[0.0191, 0.0191, 0.0191, 0.0191, 0.0191, 0.0191, 0.0191]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
NExConformal,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.894, 0.894, 0.894, 0.894, 0.894, 0.894, 0.894]","[123.7, 123.7, 123.7, 123.7, 123.7, 123.7, 123.7]","[0.051, 0.051, 0.051, 0.051, 0.051, 0.051, 0.051]","[0.0031, 0.0031, 0.0031, 0.0031, 0.0031, 0.0031, 0.0031]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
SAOCP,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.392, 0.709, 0.857, 0.887, 0.916, 0.953, 0.95]","[24.9, 80.5, 112.9, 119.9, 142.4, 183.4, 188.0]","[0.508, 0.207, 0.058, 0.04, 0.028, 0.054, 0.052]","[0.1544, 0.0241, 0.0042, 0.0035, 0.0129, 0.1561, 1.9396]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
ScaleFreeOGD,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.053, 0.431, 0.891, 0.899, 0.9, 0.9, 0.9]","[1.0, 28.0, 137.4, 123.7, 138.8, 168.0, 179.5]","[0.846, 0.47, 0.082, 0.038, 0.013, 0.004, 0.003]","[0.478, 0.138, 0.0055, 0.0031, 0.0129, 0.1463, 1.6681]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
SimpleOGD,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.899, 0.899, 0.899, 0.899, 0.899, 0.899, 0.899]","[125.0, 125.0, 125.0, 125.0, 125.0, 125.0, 125.0]","[0.041, 0.041, 0.041, 0.041, 0.041, 0.041, 0.041]","[0.0031, 0.0031, 0.0031, 0.0031, 0.0031, 0.0031, 0.0031]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
SplitConformal,"['sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden', 'sudden']","[0.843, 0.843, 0.843, 0.843, 0.843, 0.843, 0.843]","[129.5, 129.5, 129.5, 129.5, 129.5, 129.5, 129.5]","[0.122, 0.122, 0.122, 0.122, 0.122, 0.122, 0.122]","[0.0077, 0.0077, 0.0077, 0.0077, 0.0077, 0.0077, 0.0077]","[0.001, 0.01, 0.1, 1.0, 10.0, 100.0, 1000.0]"
